Producer,Name,Calories (kcal),Fat (g),Carbohydrates (g),Sugar (g),Protein (g),Salt (g),Category,Subcategory,Color (drink),Taste,Price (PLN),Ingredients
Goplana,Jeżyki,497,23,66,47,"5,3","0,46",Food,Cookies,,Advocat,"5,25","Czekolada mleczna 35,5 % [cukier, tłuszcz kakaowy, mleko w proszku pełne, miazga kakaowa, tłuszcze roślinne (palmowy, shea) w zmiennych proporcjach, serwatka w proszku (z mleka), emulgatory: lecytyny (z soi) i E 476, aromat], mąka pszenna, cukier, syrop glukozowy, syrop cukru inwertowanego, tłuszcz palmowy, chrupki zbożowe 4,7 % [mąka ryżowa, pszenna i kukurydziana, cukier, ekstrakt słodowy (z jęczmienia), sól], mleko w proszku pełne, orzechy laskowe 2,3 %, masło (z mleka), substancja utrzymująca wilgoć: syrop sorbitolowy; skrobia, ekstrakt słodowy (z jęczmienia), serwatka w proszku (z mleka), sól, emulgatory: lecytyny (z soi) i E 471, aromaty, substancje spulchniające: E 503, E 500, E 450."
Goplana,Jeżyki,486,24,59,34,"5,6","0,51",Food,Chocolate bar,,Coconut,"1,35","Czekolada mleczna 34,3 % [cukier, tłuszcz kakaowy, mleko w proszku pełne, miazga kakaowa, tłuszcze roślinne (palmowy, shea) w zmiennych proporcjach, serwatka w proszku (z mleka), emulgatory: lecytyny (z soi) i E 476, aromat], mąka pszenna, cukier, syrop cukru inwertowanego, syrop glukozowy, tłuszcz palmowy, wiórki kokosowe 4,8 %, orzechy laskowe 3 %, mleko w proszku pełne, chrupki ryżowe 1,9 % (mąka ryżowa, pszenna i kukurydziana, cukier, koncentrat słodu jęczmiennego, sól), masło (z mleka), substancja utrzymująca wilgoć: syrop sorbitolowy; skrobia, ekstrakt słodowy (z jęczmienia), serwatka w proszku (z mleka), sól, emulgatory: lecytyny (z soi) i E 471, substancje spulchniające: E 503, E 500, E 450; aromaty.  Może zawierać orzeszki arachidowe, inne orzechy i jaja. "
Hellena,Oranżada zero,1,0,"0,1",0,0,"0,01",Drink,Zero,Red,Original,"4,29","woda dwutlenek węgla regulatory kwasowości: kwas cytrynowy, kwas jabłkowy koncentrat z czarnej marchwi aromaty substancje słodzące: sukraloza, cyklaminiany, neohesperydyna DC substancja konserwująca: sorbinian potasu"
Goplana,Grześki,522,29,53,27,11,"0,45",Food,Chocolate bar,,Cocoa,"1,04","Mąka pszenna, tłuszcz palmowy, mleko w proszku odtłuszczone, cukier, kakao o obniżonej zawartości tłuszczu 4,1 %, skrobia, emulgator: lecytyny (z soi), substancje spulchniające: węglany sodu, węglany amonu; sól, aromat, serwatka w proszku (z mleka), orzechy laskowe, orzeszki arachidowe."
Goplana,Grześki,522,29,54,32,10,"0,28",Food,Chocolate bar,,Cocoa,"1,46","czekolada 30 % [cukier, miazga kakaowa, tłuszcz kakaowy, kakao o obniżonej zawartości tłuszczu, tłuszcze roślinne (palmowy, shea) w zmiennych proporcjach, tłuszcz mleczny, emulgatory: lecytyny (z soi), E 476; aromat], mąka pszenna, tłuszcz palmowy, mleko w proszku odtłuszczone, cukier, kakao o obniżonej zawartości tłuszczu 2,8 %, skrobia, emulgator: lecytyny (z soi); substancje spulchniające: węglany sodu, węglany amonu; sól, serwatka w proszku (z mleka), aromat, orzechy laskowe, orzeszki arachidowe.  Czekolada zawiera nie mniej niż 35 % suchej masy kakaowej, w tym nie mniej niż 18 % tłuszczu kakaowego oraz nie mniej niż 14 % beztłuszczowej suchej masy kakaowej. Zawiera do 5% CBE w odniesieniu do surowców podstawowych."
Jutrzenka,Familijne,552,31,62,34,6,"0,52",Food,Cookies,,Strawberry-Cream,"4,71","mąka pszenna, tłuszcz palmowy, cukier, serwatka w proszku (z mleka), mleko w proszku odtłuszczone, olej rzepakowy, skrobia, koncentrat z truskawek w proszku 0,35 %, maltodekstryna, emulgator: lecytyny (z soi); sól, śmietanka w proszku 0,17 % (z mleka), koncentrat soku buraka czerwonego w proszku, regulator kwasowości: kwas cytrynowy; aromaty, substancja spulchniająca: E 500.  Może zawierać orzeszki arachidowe i orzechy."
Jutrzenka,Familijne,544,30,61,34,7,"0,4",Food,Cookies,,Cocoa,"4,71","mąka pszenna, cukier, tłuszcz palmowy, mleko w proszku odtłuszczone, serwatka w proszku (z mleka), kakao o obniżonej zawartości tłuszczu 4,1 %, skrobia, olej rzepakowy, emulgator: lecytyny (z soi); sól, substancja spulchniająca: E 500; aromat, orzechy laskowe prażone, mielone.  Może zawierać orzeszki arachidowe i inne orzechy."
Jutrzenka,Akuku!,356,0,82,58,"6,7","0,03",Food,Jelly candy,,Fruity,"3,79","syrop glukozowy, cukier, woda, żelatyna wieprzowa, stabilizatory: sorbitole, cytryniany sodu; wsad jabłkowy (1,8 %): syrop glukozowo-fruktozowy, puree jabłkowe, koncentrat soku jabłkowego; regulator kwasowości: kwas cytrynowy, kwas jabłkowy, kwas mlekowy, mleczan wapnia, substancja żelująca: pektyny, koncentraty roślinne: marchew, pomarańczowa marchew, karmelizowana marchew, czarna porzeczka, spirulina; substancja glazurująca: wosk carnauba; oleje roślinne (kokosowy, rzepakowy), naturalne aromaty. Zawartość nadzienia 18 %."
Goplana,Mella,362,"7,2","72,3","59,9","0,8","0,16",Food,Chocolates,,Cherry,"7,99","cukier, syrop glukozowy, czekolada 19% (cukier, miazga kakaowa, tłuszcz kakaowy, tłuszcze roślinne (palmowy, shea) w zmiennych proporcjach, kakao w proszku o obniżonej zawartości tłuszczu, emulgatory (lecytyny (z soi), polirycynooleinian poliglicerolu), bezwodny tłuszcz mleczny, aromat), woda, sok wiśniowy z zagęszczonego soku wiśniowego 6,6%, substancja utrzymująca wilgoć (sorbitole), regulator kwasowości (kwas cytrynowy), substancja żelująca (pektyny), stabilizator (cytryniany sodu), aromat."
Jutrzenka,Petit Beurre,444,12,74,22,"7,7","1,1",Food,Cookies,,Biscuit,"0,93","mąka pszenna, cukier, tłuszcz palmowy, syrop cukru inwertowanego, serwatka w proszku (z mleka), skrobia, substancje spulchniające (E 503, E 500, E 450); sól, aromat, emulgator (lecytyna sojowa). "
