Producer,Name,Calories,Fat,Carbohydrates,Sugar,Protein,Salt,Category,Subcategory,Price,Palm oil,Karagen,NutriScore
Goplana,Jeżyki,497,23.0,66.0,47.0,5.3,0.46,Food,Cookies,5.25,1,0,E
Goplana,Jeżyki,486,24.0,59.0,34.0,5.6,0.51,Food,Chocolate bar,1.35,1,0,E
Hellena,Oranżada zero,1,0.0,0.1,0.0,0.0,0.01,Drink,Zero,4.29,0,0,B
Goplana,Grześki,522,29.0,53.0,27.0,11.0,0.45,Food,Chocolate bar,1.04,1,0,E
Goplana,Grześki,522,29.0,54.0,32.0,10.0,0.28,Food,Chocolate bar,1.46,1,0,D
Jutrzenka,Familijne,552,31.0,62.0,34.0,6.0,0.52,Food,Cookies,4.71,1,0,E
Jutrzenka,Familijne,544,30.0,61.0,34.0,7.0,0.4,Food,Cookies,4.71,1,0,E
Jutrzenka,Akuku!,356,0.0,82.0,58.0,6.7,0.03,Food,Jelly candy,3.79,0,0,D
Goplana,Mella,362,7.2,72.3,59.9,0.8,0.16,Food,Chocolates,7.99,1,0,E
Jutrzenka,Petit Beurre,444,12.0,74.0,22.0,7.7,1.1,Food,Cookies,0.93,1,0,E
Goplana,Oryginalna mleczna,530,30.0,56.0,55.0,8.0,0.2,Food,Chocolate,4.39,0,0,E
Jutrzenka,Rodzynki,426,15.0,67.0,65.0,4.0,0.09,Food,Chocolate fruits,4.99,1,0,E
Jutrzenka,Draże chińskie,512,27.0,54.0,52.0,11.0,0.02,Food,Chocolate dragees,4.49,1,0,D
Jutrzenka,Draże mleczne,456,17.0,68.0,65.0,7.7,0.27,Food,Chocolate dragees,3.29,1,0,E
Jutrzenka,Kamyki orzechowe,497,24.0,53.0,50.0,16.0,0.0,Food,Chocolate dragees,3.29,1,0,D
Goplana,Jeżyki,474,22.0,63.0,43.0,5.7,0.55,Food,Chocolate bar,1.35,1,0,E
Tomcio paluch,Kanapka cezar,258,13.0,24.0,1.3,13.0,1.3,Food,Sandwich,,0,0,C
GustoBello,Pinsa,235,1.8,46.0,1.1,7.3,1.2,Food,Pinsa,13.59,0,0,B
Kraina Wędlin Nature,Parówki z szynki,277,24.0,1.3,0.6,14.0,1.8,Food,Meat,4.99,0,0,C
Kraina Wędlin Nature,Salami plastry,364,31.0,0.5,0.5,21.0,3.5,Food,Meat,4.99,0,0,C
Dania Express,Lasagne bolognese,172,8.8,15.0,1.5,7.5,0.96,Food,Pre-made meal,15.99,0,0,C
Henglein,Kopytka Nasze Smaki,148,1.2,30.0,2.5,3.0,1.2,Food,Pre-made meal,5.75,0,0,C
Vital fresh,Surówka Colesław,100,6.3,8.2,6.8,1.5,0.77,Food,Pre-made meal,4.49,0,0,D
Muller,Mullermilch,71,1.6,10.7,10.2,3.4,0.15,Drink,Milkshake,3.95,0,1,C
Zott,Jogobella,90,2.7,12.0,11.4,3.5,0.14,Food,Yoghurt,2.09,0,0,C
Zott,Jogobella,89,2.7,11.6,11.0,3.5,0.15,Food,Yoghurt,2.09,0,0,C
Bakoma,Bakuś Milk&Fun,105,3.3,15.4,14.2,3.5,0.2,Food,Yoghurt,3.09,0,0,C
Biedronka,Bułka grahamka,262,1.5,48.0,1.8,11.0,1.5,Food,Bread,0.75,0,0,B
Podlaski,Pasztet drobiowy,181,15.0,4.0,0.8,7.0,1.4,Food,Canned food,3.45,0,0,C
Merci,Merci,563,36.1,49.9,48.0,7.8,0.17,Food,Chocolates,19.99,1,0,D
Lay’s,Lay’s paprykowe,517,30.0,52.0,2.2,6.6,1.3,Food,Crisps,7.69,0,0,D
Elios,Ser feta,276,23.0,0.7,0.7,16.5,2.2,Food,Cheese,8.39,0,0,D
Top,Top chipsy,542,35.0,49.0,0.6,5.5,1.1,Food,Crisps,3.99,0,0,D
Nasza spiżarnia,Pomidory całe,20,0.5,3.1,3.1,1.1,0.6,Food,Canned food,2.99,0,0,C
Nussbeisser,Nussbeisser Czekolada mleczna z całymi migdałami ,547,33.0,50.0,48.0,9.1,0.29,Food,Chocolate,8.99,1,0,D
Marinero,Tuńczyk kawałki w sosie własnym,75,0.5,0.5,0.0,17.0,0.61,Food,Canned food,6.18,0,0,A
Crunchips,Crunchips X-Cut Ser & Cebula,524,32.0,51.0,1.0,5.8,1.6,Food,Crisps,8.15,0,0,D
San,San Holenderskie Herbatniki półsłodkie oblane czekoladą mleczną,481,20.0,67.0,28.0,7.9,0.75,Food,Cookies,4.49,1,0,E
Delicje,Delicje Sz. Pomarańczowe,359,7.1,70.0,51.0,3.3,0.23,Food,Cookies,4.79,1,0,E
Prince polo,Prince Polo Mleczne XXL wafelek,525,28.0,61.0,42.0,6.0,0.44,Food,Chocolate bar,2.49,1,0,E
Przysnacki,Przysnacki Prażynki solone,520,30.0,60.0,0.5,1.3,2.0,Food,Crisps,5.99,0,0,E
Bonitki,Bonitki Rurki z kremem o smaku kokosowym,517,26.0,65.0,41.0,5.4,0.14,Food,Cookies,3.99,1,0,E
Princessa,Princessa Longa Kokosowa Wafel przekładany kremem kokosowym oblany białą czekoladą,564,35.6,53.5,36.9,6.8,0.43,Food,Chocolate bar,2.29,1,0,E
Wedel,E. Wedel Wafel WW,540,29.0,61.0,53.0,7.5,0.2,Food,Chocolate bar,1.79,1,0,E
Pudliszki,Pudliszki Ketchup pikantny,109,0.0,25.0,22.0,1.7,2.4,Food,Sauce,4.99,0,0,D
Spółdzielnia mleczarska w Gostyniu,Masło Gostyńskie Ekstra,753,83.0,0.7,0.7,0.7,0.02,Food,Butter,8.39,0,0,C
Vifon,VIFON Curry Zupa błyskawiczna z kluskami o smaku kurczaka,72,3.3,9.1,0.2,1.3,0.6,Food,Pre-made meal,2.09,1,0,C
Top,TOP Chipsy w tubie papryka ,504,27.0,60.0,2.9,3.9,1.8,Food,Crisps,4.99,0,0,E
Graal,Filet z Makreli w Sosie Pomidorowym,170,12.0,5.6,3.8,10.0,1.0,Food,Canned food,6.99,0,0,C
Bonitki,Bonitki Setters Wafelek mleczno-orzechowy,530,30.0,55.0,33.0,8.3,0.3,Food,Chocolate bar,2.59,0,0,E
